
<!-- saved from url=(0188)http://www.inmet.gov.br/projetos/rede/pesquisa/gera_serie_txt_mensal.php?&mRelEstacao=82331&btnProcesso=serie&mRelDtInicio=01/01/1990&mRelDtFim=31/12/2015&mAtributos=,,,,,,,1,,1,,,1,1,1,1, -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 82331</title>
   <!-- FACE BOX -->
   <script src="./Manaus_files/jquery.js.download" type="text/javascript"></script>
   <link href="./Manaus_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="./Manaus_files/facebox.js.download" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : MANAUS - AM (OMM: 82331)
Latitude  (graus) : -3.1
Longitude (graus) : -60.01
Altitude  (metros): 61.25
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/1990 a 31/12/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;NebulosidadeMedia;PrecipitacaoTotal;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82331;31/08/1994;0000;4.913978;96.7;32.322581;27.068387;22.887097;79.032258;
82331;30/09/1994;0000;5.449438;62.6;32.816667;27.639333;23.65;77.844828;
82331;31/10/1994;0000;5.150538;91.8;33.080645;28.036774;23.703226;75.935484;
82331;30/11/1994;0000;6.966667;207.3;32.753333;27.554;23.416667;79.166667;
82331;31/12/1994;0000;6.623656;222.5;31.219355;26.936129;23.151613;83.669355;
82331;31/01/1995;0000;6.709677;286;31.019355;24.516129;22.99375;82.459677;
82331;28/02/1995;0000;6.97619;132;30.971429;26.657857;23.496429;82.991071;
82331;31/03/1995;0000;7.268817;301.4;31.096774;26.674839;23.03871;84.306452;
82331;30/04/1995;0000;7.488889;480.5;30.593333;26.252667;22.94;86.725;
82331;31/05/1995;0000;6.935484;217.5;30.770968;26.261935;23.164516;86.741935;
82331;30/06/1995;0000;5.477778;107;30.846667;26.708667;23.153333;82.016667;
82331;31/07/1995;0000;3.860215;76.9;32.322581;27.568387;23.545161;75.943548;
82331;31/08/1995;0000;3.473118;34.2;33.532258;28.539355;24.393548;72.870968;
82331;30/09/1995;0000;3.644444;72.4;33.6;28.468;24.443333;75.391667;
82331;31/10/1995;0000;4.795699;81;33.509677;28.101935;24.235484;75.758065;
82331;30/11/1995;0000;6.988889;312;31.273333;26.690667;23.34;86.166667;
82331;31/12/1995;0000;7.064516;160.5;31.480645;26.623226;23.319355;85.241935;
82331;31/01/1996;0000;7.096774;571.3;29.941935;25.581935;22.606452;86.758065;
82331;29/02/1996;0000;7.149425;257.6;30.224138;25.99931;22.827586;85.37931;
82331;31/03/1996;0000;7.344086;338.1;30.635484;26.169032;23.13871;84.790323;
82331;30/04/1996;0000;7.388889;428.5;30.05;26.044;23.08;86.25;
82331;31/05/1996;0000;6.569892;127.5;30.916129;26.706452;23.532258;83.580645;
82331;30/06/1996;0000;;185.1;30.593333;;22.373333;;
82331;31/07/1996;0000;4.391304;16.9;31.6;26.930968;22.774194;75.870968;
82331;31/08/1996;0000;4.569892;65;32.122581;27.117419;23.383871;79.556452;
82331;30/09/1996;0000;4.511111;114;33.056667;28.225333;23.926667;75.725;
82331;31/10/1996;0000;5.505376;186;32.570968;27.675484;23.870968;80.41129;
82331;30/11/1996;0000;6.455556;163;32.346667;27.641333;23.71;81.225;
82331;31/12/1996;0000;7.451613;142.2;31.36129;26.716129;23.558065;83.814516;
82331;31/01/1997;0000;7.376344;220.6;30.180645;26.116129;23.267742;86.459677;
82331;28/02/1997;0000;7.440476;344.5;30.042857;25.941429;22.892857;86.901786;
82331;31/03/1997;0000;7.956989;534.9;29.893548;25.796129;23.012903;88.669355;
82331;30/04/1997;0000;7.144444;310.8;30.673333;26.695333;23.486667;84.725;
82331;31/05/1997;0000;6.247312;252.2;30.925806;26.807742;23.706452;82.733871;
82331;30/06/1997;0000;3.711111;9.5;32.146667;27.888667;24.2;75.916667;
82331;31/07/1997;0000;3.698925;0;33.3;28.783871;24.554839;72.782258;
82331;31/08/1997;0000;4;111.5;32.993548;28.334194;23.690323;72.895161;
82331;30/09/1997;0000;5.788889;40.5;35.2;30.156667;24.423333;63.608333;
82331;31/10/1997;0000;5.172043;60.9;35.83871;29.923226;24.758065;73.975806;
82331;30/11/1997;0000;6.744444;182.3;33.153333;27.847333;23.956667;80.45;
82331;31/12/1997;0000;6.55914;261.5;32.096774;27.412258;23.790323;82.572581;
82331;31/01/1998;0000;7.526882;302.6;31.3;26.810968;23.174194;85.274194;
82331;28/02/1998;0000;7.166667;171.7;32.271429;27.569286;23.553571;84.669643;
82331;31/03/1998;0000;8;210.8;31.493548;26.973548;23.096774;88.830645;
82331;30/04/1998;0000;7.033333;407.2;31.296667;26.734667;22.43;91.141667;
82331;31/05/1998;0000;7.043011;273.4;31.019355;26.60129;22.490323;90.362903;
82331;30/06/1998;0000;5.811111;167.2;31.276667;26.401333;21.903333;89.191667;
82331;31/07/1998;0000;5.064516;92;31.945161;26.598065;22.225806;87.379032;
82331;31/08/1998;0000;5.086022;41.8;33.087097;27.541935;22.016129;84.991935;
82331;30/09/1998;0000;5.288889;115.6;32.793333;26.994667;21.886667;86.15;
82331;31/10/1998;0000;5.182796;73.5;33.306452;27.607097;22.516129;85.33871;
82331;30/11/1998;0000;7.4;153.6;32.026667;26.807333;21.97;89.383333;
82331;31/12/1998;0000;6.709677;191;32.577419;27.132258;21.722581;85.040323;
82331;31/01/1999;0000;8.774194;411.6;30.277419;25.488387;21.03871;92.685484;
82331;28/02/1999;0000;8.75;260.8;30.232143;25.421429;20.796429;92.767857;
82331;31/03/1999;0000;8.021505;233.2;30.374194;25.4;20.612903;91.459677;
82331;30/04/1999;0000;7.711111;421.2;30.546667;25.608;20.866667;91.291667;
82331;31/05/1999;0000;6.666667;445.4;30.112903;25.343871;20.935484;92.491935;
82331;30/06/1999;0000;5.922222;149.3;31.17;25.956;20.983333;89.95;
82331;31/07/1999;0000;4.462366;25.3;31.693548;26.121935;21.174194;83.427419;
82331;31/08/1999;0000;6.064516;40.6;32.587097;26.534839;21.590323;79.346774;
82331;30/09/1999;0000;5.6;98.8;32.976667;26.962;21.953333;82.291667;
82331;31/10/1999;0000;5.602151;132.3;33.532258;27.316774;22.025806;77.379032;
82331;30/11/1999;0000;5.511111;203.5;33.016667;27.651333;22.726667;78.966667;
82331;31/12/1999;0000;6.548387;198.3;32.432258;26.980645;22.670968;81.790323;
82331;31/01/2000;0000;7.032258;350.2;30.825806;25.871613;21.816129;83.927419;
82331;29/02/2000;0000;7.62069;344.4;30.534483;25.693793;21.644828;84.577586;
82331;31/03/2000;0000;7.903226;340.7;30.406452;25.698065;21.858065;86.137097;
82331;30/04/2000;0000;7.477778;535.4;30.436667;25.507333;21.49;86.966667;
82331;31/05/2000;0000;6.709677;172.6;31.458065;26.333548;22.287097;85.314516;
82331;30/06/2000;0000;5.411111;48.2;32.543333;26.732667;21.953333;81.975;
82331;31/07/2000;0000;6.236559;40.8;31.96129;26.150323;21.848387;88.991935;
82331;31/08/2000;0000;4.774194;140;32.983871;27.113548;22.454839;84.209677;
82331;30/09/2000;0000;5.666667;218.1;33.28;27.349333;22.806667;86.841667;
82331;31/10/2000;0000;6.462366;47.2;33.564516;27.289677;22.922581;86.080645;
82331;30/11/2000;0000;5.811111;169.7;33.846667;27.485333;22.546667;85.233333;
